"caseid","v212","v301","v302","v191","v133","v102","v104","v005","v000","v007","v001","v002","v025","v525","v717","v613","v012","SurveyId"
"    00181021  4",NA,3,0,83196,8,1,95,291383,"CO7",2015,18,1021,1,0,0,2,13,"CO2015DHS"
"    00181223  2",22,3,3,69229,16,1,95,307004,"CO7",2015,18,1223,1,16,2,2,24,"CO2015DHS"
"    00181223  5",15,3,3,69229,12,1,30,293901,"CO7",2015,18,1223,1,14,2,4,47,"CO2015DHS"
"    00181324  2",22,3,3,64022,12,1,95,368751,"CO7",2015,18,1324,1,18,7,3,34,"CO2015DHS"
"    00181325  4",18,3,3,93895,13,1,95,368751,"CO7",2015,18,1325,1,15,1,4,32,"CO2015DHS"
"    00181325  5",NA,3,0,93895,7,1,95,291383,"CO7",2015,18,1325,1,13,0,3,14,"CO2015DHS"
"    00181325  7",NA,3,3,93895,13,1,95,315022,"CO7",2015,18,1325,1,18,2,4,29,"CO2015DHS"
"    00181325  8",NA,3,0,93895,8,1,7,268357,"CO7",2015,18,1325,1,0,0,4,15,"CO2015DHS"
"    00190813  1",19,3,3,18867,10,1,10,424307,"CO7",2015,19,813,1,18,9,4,35,"CO2015DHS"
"    00190813  3",15,3,3,18867,7,1,10,383367,"CO7",2015,19,813,1,13,3,2,16,"CO2015DHS"
"    00190914  1",17,3,3,28097,11,1,95,526787,"CO7",2015,19,914,1,15,7,4,32,"CO2015DHS"
"    00190914  3",NA,3,0,28097,6,1,95,416261,"CO7",2015,19,914,1,0,0,4,14,"CO2015DHS"
"    00190914  5",14,3,3,28097,8,1,0,383367,"CO7",2015,19,914,1,13,7,2,16,"CO2015DHS"
"    00191419  2",15,3,3,-24704,11,1,95,526787,"CO7",2015,19,1419,1,14,3,0,30,"CO2015DHS"
"    00191621  2",19,3,3,-22826,11,1,0,450031,"CO7",2015,19,1621,1,16,3,1,29,"CO2015DHS"
"    00201616  2",24,3,3,71090,13,1,20,509168,"CO7",2015,20,1616,1,19,7,3,37,"CO2015DHS"
"    00201616  3",NA,3,0,71090,5,1,95,499513,"CO7",2015,20,1616,1,0,0,2,13,"CO2015DHS"
"    00201717  1",15,3,3,-2970,11,1,2,509168,"CO7",2015,20,1717,1,96,8,96,35,"CO2015DHS"
"    00201717  4",NA,0,0,-2970,6,1,1,499513,"CO7",2015,20,1717,1,0,0,0,13,"CO2015DHS"
"    00201818  2",19,3,3,85258,8,1,11,509168,"CO7",2015,20,1818,1,19,7,3,37,"CO2015DHS"
"    00201818  6",NA,3,3,85258,16,1,95,632144,"CO7",2015,20,1818,1,96,1,1,31,"CO2015DHS"
"    00201818  7",NA,3,3,85258,14,1,95,526292,"CO7",2015,20,1818,1,19,2,2,21,"CO2015DHS"
"    00202121  1",18,3,3,-50211,6,1,95,540038,"CO7",2015,20,2121,1,14,7,4,29,"CO2015DHS"
"    00202222  2",19,3,2,-43090,9,1,95,582119,"CO7",2015,20,2222,1,17,3,6,40,"CO2015DHS"
"    00202323  1",20,3,3,47073,0,1,95,503830,"CO7",2015,20,2323,1,19,3,2,45,"CO2015DHS"
"    00202525  2",16,3,3,-2454,4,1,95,503830,"CO7",2015,20,2525,1,96,3,0,48,"CO2015DHS"
"    00209020  4",NA,3,0,8569,6,1,95,499513,"CO7",2015,20,9020,1,0,0,3,13,"CO2015DHS"
"    00209060  2",17,3,3,44720,4,1,15,632144,"CO7",2015,20,9060,1,17,9,3,33,"CO2015DHS"
"    00209060  3",NA,3,0,44720,5,1,12,460040,"CO7",2015,20,9060,1,0,0,1,15,"CO2015DHS"
"    00211616  3",25,3,3,93090,16,1,0,945066,"CO7",2015,21,1616,1,15,1,1,27,"CO2015DHS"
"    00211818  3",NA,3,3,69667,13,1,95,921012,"CO7",2015,21,1818,1,16,7,5,21,"CO2015DHS"
"    00211818  4",16,3,3,69667,9,1,6,805070,"CO7",2015,21,1818,1,14,0,3,18,"CO2015DHS"
"    00212020  2",19,3,3,84026,14,1,95,945066,"CO7",2015,21,2020,1,15,7,2,26,"CO2015DHS"
"    00212222  2",NA,3,3,87425,16,1,95,1106253,"CO7",2015,21,2222,1,19,1,2,30,"CO2015DHS"
"    00221217  1",18,3,3,80572,13,1,95,476461,"CO7",2015,22,1217,1,16,7,4,35,"CO2015DHS"
"    00221318  2",23,3,3,54680,11,1,95,476461,"CO7",2015,22,1318,1,20,3,3,35,"CO2015DHS"
"    00221419  2",23,3,3,45458,3,1,23,544726,"CO7",2015,22,1419,1,22,3,5,41,"CO2015DHS"
"    00221419  3",NA,3,0,45458,12,1,95,430489,"CO7",2015,22,1419,1,0,3,3,18,"CO2015DHS"
"    00221419  4",NA,3,0,45458,9,1,95,430489,"CO7",2015,22,1419,1,0,0,2,15,"CO2015DHS"
"    00221419  5",NA,3,0,45458,8,1,95,467426,"CO7",2015,22,1419,1,0,0,2,14,"CO2015DHS"
"    00221520  4",NA,3,3,12840,13,1,95,492485,"CO7",2015,22,1520,1,15,1,0,23,"CO2015DHS"
"    00221623  1",24,3,3,90913,13,1,5,505348,"CO7",2015,22,1623,1,18,3,2,26,"CO2015DHS"
"    00221623  4",NA,3,0,90913,5,1,0,430489,"CO7",2015,22,1623,1,0,0,2,15,"CO2015DHS"
"    00231213  2",14,3,3,-10944,3,1,10,770054,"CO7",2015,23,1213,1,96,3,2,26,"CO2015DHS"
"    00231314  2",NA,3,3,-1937,16,1,95,726036,"CO7",2015,23,1314,1,96,3,2,36,"CO2015DHS"
"    00231415  2",22,3,3,83588,16,1,95,726036,"CO7",2015,23,1415,1,18,2,2,37,"CO2015DHS"
